,m,l,P,r,T,rho,epsilon,kappa,nabla_ad,nabla,convection/radiation
2209,3.644522261130565e+33,5.796920002353865e+34,802410758978856.8,46958864787.08647,5212225.539662657,1.1367845666654346,0.001665797951586283,2.8591365214400466,0.4,0.4,convective
2210,3.6428214107053524e+33,5.796919717626182e+34,809192906385184.4,46905029009.16284,5220788.606829225,1.1445175309823292,0.0016934102390615147,2.852811582493137,0.4,0.4,convective
2211,3.64112056028014e+33,5.796919428095939e+34,816002599492510.1,46851434669.50723,5229326.17858241,1.1522697410055107,0.0017213444686755973,2.8465308255508854,0.4,0.4,convective
2212,3.639419709854927e+33,5.796919133705404e+34,822839843730812.0,46798079414.18124,5237838.4023204,1.160041191037661,0.0017496027491949167,2.840293838288703,0.4,0.4,convective
2213,3.637718859429715e+33,5.79691883439664e+34,829704645531490.0,46744960917.49261,5246325.431363939,1.1678318751825851,0.0017781872050763466,2.834100199418393,0.4,0.4,convective
2214,3.636018009004502e+33,5.796918530111503e+34,836597012327381.5,46692076881.99511,5254787.424956354,1.1756417872968266,0.0018070999773189072,2.82794947889126,0.4,0.4,convective
2215,3.6343171585792895e+33,5.796918220791648e+34,843516952552743.8,46639425038.48872,5263224.548263529,1.1834709209413736,0.0018363432243367348,2.8218412380959266,0.4,0.4,convective
2216,3.6326163081540766e+33,5.79691790637852e+34,850464475643271.8,46587003146.01943,5271636.972373929,1.1913192693335335,0.0018659191228539264,2.815775030050733,0.4,0.4,convective
2217,3.630915457728864e+33,5.79691758681336e+34,857439592036079.5,46534808991.87941,5280024.874298575,1.1991868252988827,0.0018958298688207505,2.809750399591253,0.4,0.4,convective
2218,3.629214607303652e+33,5.796917262037208e+34,864442313169717.5,46482840391.60687,5288388.4369710665,1.2070735812233717,0.0019260776783520698,2.803766883552705,0.4,0.4,convective
2219,3.627513756878439e+33,5.796916931990893e+34,871472651484163.8,46431095188.98615,5296727.849247571,1.2149795290055077,0.001956664788687821,2.7978240109474894,0.4,0.4,convective
2220,3.6258129064532266e+33,5.796916596615041e+34,878530620420818.8,46379571256.04773,5305043.305906819,1.222904660008646,0.0019875934591756074,2.7919213031381673,0.4,0.4,convective
2221,3.6241120560280137e+33,5.796916255850075e+34,885616234422520.8,46328266493.06813,5313335.007650118,1.2308489650134036,0.0020188659722759714,2.7860582740057342,0.4,0.4,convective
2222,3.6224112056028014e+33,5.796915909636212e+34,892729508933527.1,46277178828.570045,5321603.161101336,1.2388124341701274,0.002050484634590064,2.780234430113614,0.4,0.4,convective
2223,3.6207103551775884e+33,5.79691555791346e+34,899870460399533.0,46226306219.322205,5329847.9788069185,1.246795056951495,0.002082451777910321,2.7744492708672475,0.4,0.4,convective
